127.0.0.1 | 2013_12_17 00:11:21 | admin | ls
127.0.0.1 | 2013_12_17 00:11:21 | admin | pwd
127.0.0.1 | 2013_12_17 00:11:23 | admin | cd /t	
127.0.0.1 | 2013_12_17 00:11:24 | admin | ll
127.0.0.1 | 2013_12_17 00:11:29 | admin | cmkdir recycled
127.0.0.1 | 2013_12_17 00:11:31 | admin | cd rescy	
127.0.0.1 | 2013_12_17 00:11:32 | admin | ll
127.0.0.1 | 2013_12_17 00:11:36 | admin | cp /etc/hosts .
127.0.0.1 | 2013_12_17 00:11:36 | admin | ll
127.0.0.1 | 2013_12_17 00:11:43 | admin | vim >hosts
127.0.0.1 | 2013_12_17 00:11:45 | admin | cdll
127.0.0.1 | 2013_12_17 00:11:47 | admin | rm -rf ho	
127.0.0.1 | 2013_12_17 00:11:48 | admin | cd
127.0.0.1 | 2013_12_17 00:11:48 | admin | ll
127.0.0.1 | 2013_12_17 00:11:52 | admin | cd /
127.0.0.1 | 2013_12_17 00:11:54 | admin | ll
127.0.0.1 | 2013_12_17 00:11:58 | admin | cd /t	
127.0.0.1 | 2013_12_17 00:11:59 | admin | ll
127.0.0.1 | 2013_12_17 00:12:02 | admin | cat un	
127.0.0.1 | 2013_12_17 00:12:02 | admin | ll
127.0.0.1 | 2013_12_17 00:12:04 | admin | rm -f un	
127.0.0.1 | 2013_12_17 00:12:04 | admin | ll
127.0.0.1 | 2013_12_17 00:12:07 | admin | ll VM	
127.0.0.1 | 2013_12_17 00:12:08 | admin | ll
127.0.0.1 | 2013_12_17 00:12:09 | admin | pwd
127.0.0.1 | 2013_12_17 00:12:10 | admin | ll
127.0.0.1 | 2013_12_17 00:12:14 | admin | cd tm	1_	
127.0.0.1 | 2013_12_17 00:12:15 | admin | ll
127.0.0.1 | 2013_12_17 00:12:16 | admin | cd ..
127.0.0.1 | 2013_12_17 00:12:17 | admin | tree
127.0.0.1 | 2013_12_17 00:12:20 | admin | du -sh .
127.0.0.1 | 2013_12_17 00:12:21 | admin | pwd
127.0.0.1 | 2013_12_17 00:12:24 | admin | sudo su -
127.0.0.1 | 2013_12_17 00:12:26 | admin | 1
127.0.0.1 | 2013_12_17 00:12:27 | admin | ll
127.0.0.1 | 2013_12_17 00:12:29 | admin | exok
127.0.0.1 | 2013_12_17 00:12:31 | admin | echo aaaa
127.0.0.1 | 2013_12_17 00:12:32 | admin | exit
127.0.0.1 | 2013_12_17 00:12:34 | admin | exit
