127.0.0.1 | 2013_12_05 00:16:13 | admin | exit
127.0.0.1 | 2013_12_05 00:22:47 | admin | exit
127.0.0.1 | 2013_12_05 01:02:27 | admin | exit
127.0.0.1 | 2013_12_05 01:03:05 | admin | exit
127.0.0.1 | 2013_12_05 01:04:47 | admin | exit
127.0.0.1 | 2013_12_05 01:59:09 | admin | exit
127.0.0.1 | 2013_12_05 02:19:28 | admin | exit
127.0.0.1 | 2013_12_05 02:25:23 | admin | exit
127.0.0.1 | 2013_12_05 02:47:42 | admin | exit
127.0.0.1 | 2013_12_05 03:26:34 | admin | exit
127.0.0.1 | 2013_12_05 03:27:16 | admin | ell
127.0.0.1 | 2013_12_05 03:27:17 | admin | exit
127.0.0.1 | 2013_12_29 18:06:34 | admin | ll
127.0.0.1 | 2013_12_29 18:06:40 | admin | vim /etc/hosts
127.0.0.1 | 2013_12_29 18:06:48 | admin | jjjj:q
127.0.0.1 | 2013_12_29 18:06:48 | admin | jjjj:q
127.0.0.1 | 2013_12_29 18:06:53 | admin | 
127.0.0.1 | 2013_12_29 18:06:54 | admin | ll
127.0.0.1 | 2013_12_29 18:06:57 | admin | clean
127.0.0.1 | 2013_12_29 18:06:58 | admin | exit
127.0.0.1 | 2013_12_29 23:55:28 | admin | ll
127.0.0.1 | 2013_12_29 23:55:32 | admin | vim .vi	in	
127.0.0.1 | 2013_12_29 23:55:35 | admin | :q
127.0.0.1 | 2013_12_29 23:55:36 | admin | ll
127.0.0.1 | 2013_12_29 23:55:36 | admin | 
127.0.0.1 | 2013_12_29 23:55:40 | admin | clear
127.0.0.1 | 2013_12_29 23:55:42 | admin | 
127.0.0.1 | 2013_12_29 23:55:45 | admin | ll
127.0.0.1 | 2013_12_29 23:55:50 | admin | vim /etc/hosts
127.0.0.1 | 2013_12_29 23:55:55 | admin | jjjjjjjjjjjjjjjjjggj:q
127.0.0.1 | 2013_12_29 23:55:58 | admin | exit
