127.0.0.1 | 2013_12_12 10:12:53 | admin | exit
127.0.0.1 | 2013_12_12 10:48:32 | admin | exit
127.0.0.1 | 2013_12_12 10:48:43 | admin | exit
127.0.0.1 | 2013_12_12 10:49:25 | admin | exit
127.0.0.1 | 2013_12_12 10:49:50 | admin | exit
127.0.0.1 | 2013_12_12 10:51:50 | admin | exit
127.0.0.1 | 2013_12_12 10:53:55 | admin | exit
127.0.0.1 | 2013_12_12 10:54:04 | admin | exit
127.0.0.1 | 2013_12_12 19:41:20 | admin | ll
127.0.0.1 | 2013_12_12 19:41:33 | admin | pwd
127.0.0.1 | 2013_12_12 19:41:36 | admin | echo date +%F
127.0.0.1 | 2013_12_12 19:41:43 | admin | exit
127.0.0.1 | 2013_12_12 20:04:44 | admin | exit
127.0.0.1 | 2013_12_12 21:02:53 | admin | qexit
127.0.0.1 | 2013_12_12 21:03:19 | admin | exit
127.0.0.1 | 2013_12_12 21:13:01 | admin | qexit
127.0.0.1 | 2013_12_12 21:14:54 | admin | exit
127.0.0.1 | 2013_12_12 21:16:55 | admin | exit
127.0.0.1 | 2013_12_12 21:17:02 | admin | exit
127.0.0.1 | 2013_12_12 21:27:03 | admin | exit
127.0.0.1 | 2013_12_12 22:05:02 | admin | exit
